price,name,desc
"€ 394,65",Sony Xperia Z1 Black,"Android, Qualcomm Snapdragon 800 (8974), 5 inch, 1920x1080, 20.7 MPixel, 170 gram"
"€ 173,66",Acer Liquid E3 Black,"Android, MediaTek MT6589, 4.7 inch, 1280x720, 13 MPixel, 135 gram"
"€ 445,74",HTC One Silver,"Android, Qualcomm Snapdragon 600 (8064T), 4.7 inch, 1920x1080, 4.1 MPixel, 145 gram"
"€ 383,98",Huawei Ascend P6 Pink,"Android, Huawei K3V2 Hi3620, 4.7 inch, 1280x720, 8 MPixel, 120 gram"
"€ 241,03",LG G2 Mini Black,"Android, Qualcomm Snapdragon 400 (8226), 4.7 inch, 960x540, 8 MPixel, 125 gram"
"€ 145,89",Samsung Galaxy S Duos Black,"Android, 4 inch, 800x480, 5 MPixel, 120 gram"
"€ 296,72",Samsung Galaxy S III 16GB Blue,"Android, Samsung Exynos 4412, 4.8 inch, 1280x720, 8 MPixel, 133 gram"
"€ 112,50",Samsung Galaxy Young Duo Blue,"Android, 3.3 inch, 480x320, 3.2 MPixel, 112 gram"
"€ 104,62",Sony Xperia E1 Black,"Android, Qualcomm Snapdragon 200 (8210), 4 inch, 800x480, 3.15 MPixel, 120 gram"
"€ 341,36",Apple iPhone 4S 8GB Black,"iOS, Apple A5, 3.5 inch, 960x640, 8 MPixel, 140 gram"
,,
"€ 741,65",Apple iPhone 6 16GB Gold,"iOS, Apple A8, 4.7 inch, 1334x750, 8 MPixel, 129 gram"
"€ 294,10",Huawei Ascend P6 Black,"Android, Huawei K3V2 Hi3620, 4.7 inch, 1280x720, 8 MPixel, 120 gram"
"€ 228,69",LG Optimus L9 GP760 Black,"Android, Texas Instruments OMAP 4430, 4.7 inch, 960x540, 5 MPixel, 124 gram"
"€ 183,30",Motorola Moto G (2014) White,"Android, Qualcomm Snapdragon 400, 5 inch, 1280x720, 8 MPixel, 149 gram"
"€ 136,67",Samsung Galaxy Ace 2 Onyx Black ,"Android, ST-Ericsson NovaThor U8500, 3.8 inch, 800x480, 5 MPixel, 116 gram"
,Samsung Galaxy S i9000 Black,"Android, Samsung S5PC110, 4 inch, 800x480, 5 MPixel, 119 gram"
"€ 417,33",Samsung Galaxy S4 White,"Android, Qualcomm Snapdragon 600 (8064T), 5 inch, 1920x1080, 13 MPixel, 130 gram"
"€ 167,82",Sony Xperia L Black,"Android, Qualcomm Snapdragon S4 Plus (MSM8230), 4.3 inch, 854x480, 8 MPixel, 135 gram"
"€ 849,10",Apple iPhone 6 Plus 16GB Grey,"iOS, Apple A8, 5.5 inch, 1920x1080, 8 MPixel, 172 gram"
"€ 194,09",Archos 64 Xenon,"Android, MediaTek MT6589, 6.4 inch, 1280x720, 8 MPixel, 232 gram"
"€ 300,01",Nokia Lumia 925 Black,"Windows Phone, 4.5 inch, 1280x768, 8.7 MPixel, 139 gram"
"€ 450,39",Nokia Lumia 930 Green,"Windows Phone, Qualcomm Snapdragon 800 (8974), 5 inch, 1920x1080, 20 MPixel, 166 gram"
"€ 174,64",Samsung Galaxy Core Blue,"Android, 4.3 inch, 800x480, 5 MPixel, 124 gram"
"€ 306,40",Acer Liquid Jade Plus White,"Android, 5 inch, 1280x720, 13 MPixel"
"€ 682,81",Apple iPhone 5 16GB White,"iOS, Apple A6, 4 inch, 1136x640, 8 MPixel, 112 gram"
"€ 946,81",Apple iPhone 6 128GB Silver,"iOS, Apple A8, 4.7 inch, 1334x750, 8 MPixel, 129 gram"
,HTC Desire Z,"Android, Qualcomm Snapdragon S2 (MSM7230), 3.7 inch, 800x480, 5 MPixel, 180 gram"
,LG P880 Optimus 4X HD Black,"Android, Nvidia Tegra 3, 4.7 inch, 1280x720, 8 MPixel, 140 gram"
"€ 128,71",Nokia 515 Black (dual sim),"2.4 inch, 320x240, 5 MPixel, 101.1 gram"
"€ 512,70",Nokia Lumia 1520 Black,"Windows Phone, Qualcomm Snapdragon 800 (8974), 6 inch, 1920x1080, 20 MPixel, 209 gram"
,Samsung Galaxy Nexus Black,"Android, Texas Instruments OMAP 4460, 4.65 inch, 1280x720, 5 MPixel, 135 gram"
"€ 155,97",Samsung Galaxy S III Mini Lite Blue,"Android, 4 inch, 800x480, 5 MPixel, 112 gram"
"€ 191,75",Samsung Galaxy Xcover 2 Grey,"Android, ST-Ericsson NovaThor U8500, 4 inch, 800x480, 5 MPixel, 148.5 gram"
,Sony Xperia U ST25i Pink,"Android, ST-Ericsson NovaThor U8500, 3.5 inch, 854x480, 5 MPixel, 111 gram"
,Alcatel One Touch 991D Dual Sim Black,"Android, MediaTek MT6573, 4 inch, 480x320, 3.1 MPixel, 135 gram"
"€ 292,05",BlackBerry Q10 Black,"BlackBerry OS, 3.1 inch, 8 MPixel, 139 gram"
,HTC One X 32GB Black,"Android, Nvidia Tegra 3, 4.7 inch, 1280x720, 8 MPixel, 133 gram"
"€ 409,91",Nokia Lumia 830 Green,"Windows Phone, 5 inch, 1280x720, 10 MPixel, 150 gram"
"€ 442,21",Samsung Galaxy K Zoom Black,"Android, Samsung Exynos 5260, 4.8 inch, 1280x720, 20.7 MPixel, 200 gram"
"€ 270,03",Samsung Galaxy S4 Mini White,"Android, Qualcomm Snapdragon 400 (8930AB), 4.3 inch, 960x540, 8 MPixel, 110 gram"
"€ 133,31",Wiko Bloom Pink,"Android, 4.7 inch, 800x480, 5 MPixel, 145 gram"
"€ 230,48",Acer Liquid S1 Duo Black,"Android, MediaTek MT6589, 5.7 inch, 1280x720, 8 MPixel, 194.1 gram"
"€ 330,44",HTC Desire 816 Grey,"Android, Qualcomm Snapdragon 400 (8928), 5.5 inch, 1280x720, 13 MPixel, 165 gram"
,HTC Desire S,"Android, Qualcomm Snapdragon S2 (MSM8255), 3.7 inch, 800x480, 5 MPixel, 130 gram"
"€ 252,89",Huawei Ascend G700 White,"Android, MediaTek MT6589, 5 inch, 1280x720, 8 MPixel, 155 gram"
"€ 122,65",Huawei Y530 Black,"Android, 4.5 inch, 5 MPixel, 145 gram"
,LG P990 Optimus 2X Speed Black,"Android, Nvidia Tegra 2, 4 inch, 800x480, 8 MPixel, 139 gram"
"€ 424,41",Nokia Lumia 1020 32GB Black,"Windows Phone, 4.5 inch, 1280x720, 41 MPixel, 158 gram"
"€ 585,28",Samsung Galaxy Alpha White,"Android, 4.7 inch, 1280x720, 12 MPixel, 114 gram"
